mutation	go_test_exit	status
plugin-nil-registry	1	killed
plugin-nil-resolution-registry	1	killed
plugin-nil-plugin	1	killed
plugin-invalid-declaration	1	killed
plugin-invalid-resolution-id	1	killed
plugin-unstable-declaration	1	killed
plugin-duplicate-plugin	1	killed
plugin-duplicate-dependency	1	killed
plugin-missing-dependency	1	killed
plugin-unsatisfiable-declaration	1	killed
plugin-dependency-cycle	1	killed
plugin-not-registered	1	killed
plan-invalid-explicit-node	1	killed
plan-duplicate-node	1	killed
plan-missing-dependency	1	killed
plan-dependency-cycle	1	killed
vendor-no-agentic-registry	1	killed
vendor-unknown-system-late-model	1	killed
vendor-shadow-sync	1	killed
vendor-plugin-id-collision	1	killed
vendor-nil-registry	1	killed
vendor-nil-vendor	1	killed
vendor-unstable-id	1	killed
vendor-invalid-id-type	1	killed
vendor-unnormalized-id	1	killed
vendor-no-models	1	killed
vendor-duplicate-model	1	killed
vendor-invalid-model-id	1	killed
vendor-description-empty	1	killed
vendor-rank-invalid	1	killed
vendor-lifecycle-invalid	1	killed
vendor-effort-declaration	1	killed
vendor-supersession-invalid	1	killed
vendor-recommendation-ambiguous	1	killed
vendor-pricing-invalid	1	killed
vendor-model-invalid	1	killed
vendor-duplicate-vendor	1	killed
